marca,modelo,emplacados,acumulado_anual,data
BMW,320I,336,1471,2023-12-2
BMW,330E,57,325,2023-12-2
MBENZ,CLASSE_C,31,256,2023-12-2
AUDI,A4,24,154,2023-12-2
MBENZ,CLA250,20,143,2023-12-2
PORSCHE,PANAMERA,41,117,2023-12-2
BYD,HAN,6,41,2023-12-2
BMW,I4,4,27,2023-12-2
LEXUS,ES300,6,24,2023-12-2
TOYOTA,CAMRY,1,17,2023-12-2
BMW,530E,6,13,2023-12-2
AUDI,E_TRON_GT,2,12,2023-12-2
VW,PARATI,0,2,2023-12-2
VW,SPACE_FOX,0,1,2023-12-2
AUDI,RS6_AVANT,3,6,2023-12-2
GM,CARAVAN,0,1,2023-12-2
VW,QUANTUM,0,1,2023-12-2
GM,BOLT,0,22,2023-12-2
FIAT,DOBLO,0,2,2023-12-2
GM,SPIN,1084,5589,2023-12-2
KIA,CARNIVAL,0,22,2023-12-2
BYD,D1,2,14,2023-12-2
TOYOTA,SIENNA,0,3,2023-12-2
PORSCHE,911,47,287,2023-12-2
FORD,MUSTANG,44,145,2023-12-2
BMW,M3,20,131,2023-12-2
PORSCHE,TAYCAN,25,95,2023-12-2
PORSCHE,BOXSTER,45,68,2023-12-2
PORSCHE,CAYMAN,18,39,2023-12-2
JAGUAR,F-TYPE,6,30,2023-12-2
GM,CORVETTE,7,20,2023-12-2
GM,CAMARO,5,14,2023-12-2
JEEP,COMPASS,4898,20453,2023-12-2
HYUNDAI,CRETA,4660,20084,2023-12-2
VW,T_CROSS,4592,18760,2023-12-2
GM,TRACKER,4078,18574,2023-12-2
TOYOTA,COROLLA_CROSS,3946,14395,2023-12-2
NISSAN,KICKS,3055,14377,2023-12-2
JEEP,RENEGADE,3219,13960,2023-12-2
FIAT,PULSE,3504,13554,2023-12-2
VW,NIVUS,3702,12786,2023-12-2
FIAT,FASTBACK,2466,11171,2023-12-2
HONDA,HR-V,4688,11157,2023-12-2
JEEP,COMMANDER,1835,7220,2023-12-2
RENAULT,DUSTER,1377,7055,2023-12-2
TOYOTA,HILUX_SW4,1113,4376,2023-12-2
VW,TAOS,792,3825,2023-12-2
CAOA_CHERY,TIGGO_8,544,2362,2023-12-2
CAOA_CHERY,TIGGO_7,418,1640,2023-12-2
CAOA_CHERY,TIGGO_5X,516,1581,2023-12-2
CITROEN,C4_CACTUS,344,1450,2023-12-2
VOLVO,XC60,157,1436,2023-12-2
GM,EQUINOX,292,1219,2023-12-2
MITSUBISHI,ECLIPSE_CROSS,206,913,2023-12-2
BMW,X1,367,659,2023-12-2
AUDI,Q5,185,610,2023-12-2
VOLVO,XC40,140,593,2023-12-2
GM,TRAILBLAZER,231,592,2023-12-2
PEUGEOT,2008,138,569,2023-12-2
PORSCHE,MACAN,149,554,2023-12-2
PORSCHE,CAYENNE,145,529,2023-12-2
MITSUBISHI,PAJERO,108,525,2023-12-2
AUDI,Q3,125,473,2023-12-2
LAND_ROVER,DISCOVERY,119,431,2023-12-2
BYD,SONG_PLUS,39,422,2023-12-2
VOLVO,XC90,123,386,2023-12-2
MBENZ,CLASSE_GLB,81,382,2023-12-2
KIA,STONIC,96,368,2023-12-2
FORD,TERRITORY,88,367,2023-12-2
SUZUKI,JIMNY_SIERRA,83,353,2023-12-2
MBENZ,CLASSE_GLA,53,342,2023-12-2
TOYOTA,RAV4,47,332,2023-12-2
FIAT,MOBI,4196,23547,2023-12-2
RENAULT,KWID,2725,20713,2023-12-2
VW,GOL,225,5842,2023-12-2
VW,FUSCA,8,44,2023-12-2
FIAT,UNO,3,17,2023-12-2
VW,UP,1,4,2023-12-2
FIAT,PALIO,1,3,2023-12-2
GM,CHEVETTE,0,2,2023-12-2
FIAT,147,0,1,2023-12-2
GM,ONIX,6947,35849,2023-12-2
VW,POLO,7636,27773,2023-12-2
HYUNDAI,HB20,4245,27582,2023-12-2
FIAT,ARGO,4710,25173,2023-12-2
TOYOTA,YARIS_HB,2458,9940,2023-12-2
PEUGEOT,208,2463,8828,2023-12-2
CITROEN,C3,1607,8408,2023-12-2
HONDA,CITY_HATCH,968,5849,2023-12-2
RENAULT,SANDERO,598,2555,2023-12-2
MINI,COOPER,73,316,2023-12-2
JAC,E-JS1,63,188,2023-12-2
CAOA_CHERY,ICAR,11,38,2023-12-2
GM,CRUZE_HB,45,171,2023-12-2
AUDI,A3,36,134,2023-12-2
NISSAN,LEAF,6,105,2023-12-2
MBENZ,CLASSE_A,5,20,2023-12-2
BMW,118i,2,12,2023-12-2
BMW,I3,1,11,2023-12-2
FIAT,CRONOS,2950,14227,2023-12-2
HYUNDAI,HB20S,1384,8107,2023-12-2
VW,VOYAGE,4,2067,2023-12-2
RENAULT,LOGAN,171,893,2023-12-2
FIAT,SIENA,0,15,2023-12-2
TOYOTA,ETIOS_SEDAN,0,2,2023-12-2
FORD,FIESTA_SEDAN,0,1,2023-12-2
FORD,KA_SEDAN,0,1,2023-12-2
GM,CLASSIC,0,1,2023-12-2
GM,CORSA_SEDAN,0,1,2023-12-2
GM,ONIX_PLUS,5624,29310,2023-12-2
VW,VIRTUS,2744,7501,2023-12-2
HONDA,CITY,1151,5538,2023-12-2
TOYOTA,YARIS_SEDAN,1068,4763,2023-12-2
NISSAN,VERSA,673,2729,2023-12-2
FORD,CORCEL,0,5,2023-12-2
TOYOTA,COROLLA,3891,16101,2023-12-2
NISSAN,SENTRA,636,1545,2023-12-2
GM,CRUZE_SEDAN,126,461,2023-12-2
VW,JETTA,186,460,2023-12-2
HONDA,CIVIC,7,315,2023-12-2
CAOA_CHERY,ARRIZO_6,51,291,2023-12-2
AUDI,A3_SEDAN,58,216,2023-12-2
AUDI,A5,32,196,2023-12-2
MBENZ,CLA45,1,52,2023-12-2
BMW,218I,11,44,2023-12-2
BMW,420I,5,42,2023-12-2
MBENZ,CLA35,5,32,2023-12-2
JAC,E-J7,1,21,2023-12-2
HYUNDAI,IONIQ,11,12,2023-12-2
KIA,CERATO,2,11,2023-12-2
MBENZ,CLASSE_A,0,5,2023-12-2
GM,IMPALA,1,1,2023-12-2
RENAULT,FLUENCE,0,1,2023-12-2
TOYOTA,PRIUS,0,1,2023-12-2
VW,SANTANA,0,1,2023-12-2
BMW,320I,420,1891,2023-12-2
BMW,330E,24,349,2023-12-2
MBENZ,CLASSE_C,41,297,2023-12-2
AUDI,A4,36,190,2023-12-2
MBENZ,CLA250,23,166,2023-12-2
PORSCHE,PANAMERA,31,148,2023-12-2
BMW,I4,24,51,2023-12-2
BYD,HAN,8,49,2023-12-2
BMW,530E,17,30,2023-12-2
LEXUS,ES300,4,28,2023-12-2
TOYOTA,CAMRY,11,28,2023-12-2
AUDI,E_TRON_GT,5,17,2023-12-2
VW,PARATI,0,2,2023-12-2
VW,SPACE_FOX,0,1,2023-12-2
AUDI,RS6_AVANT,11,17,2023-12-2
GM,CARAVAN,0,1,2023-12-2
VW,QUANTUM,0,1,2023-12-2
GM,BOLT,12,34,2023-12-2
FIAT,DOBLO,0,2,2023-12-2
GM,SPIN,1492,7081,2023-12-2
KIA,CARNIVAL,1,23,2023-12-2
BYD,D1,0,14,2023-12-2
TOYOTA,SIENNA,0,3,2023-12-2
PORSCHE,911,58,345,2023-12-2
FORD,MUSTANG,39,184,2023-12-2
BMW,M3,18,149,2023-12-2
